"Area","Kind","Name","File","Line"
"WEB","interface","CreateApplicationLinkPayload","apps\web\src\features\applications\application-types.ts","118"
"WEB","interface","CreateApplicationPayload","apps\web\src\features\applications\application-types.ts","83"
"WEB","type","CreateApplicationPayload","apps\web\src\features\applications\components\application-form.tsx","19"
"API","class","CreateApplicationTechnologyDto","apps\api\src\modules\applications\dto\application-technology.dto.ts","5"
"API","class","CreateBlockerDto","apps\api\src\modules\development\dto\development.dto.ts","152"
"WEB","interface","CreateBlockerPayload","apps\web\src\features\development\development-types.ts","165"
"API","class","CreateDeploymentDto","apps\api\src\modules\releases\dto\release-deployment.dto.ts","62"
"API","class","CreateHealthCheckDto","apps\api\src\modules\monitoring\dto\health-check.dto.ts","6"
"API","class","CreateMilestoneDto","apps\api\src\modules\development\dto\development.dto.ts","27"
"WEB","interface","CreateMilestonePayload","apps\web\src\features\development\development-types.ts","148"
"API","interface","CreateNotificationInput","apps\api\src\modules\team-operations\services\notification.service.ts","5"
"API","class","CreateReleaseDto","apps\api\src\modules\releases\dto\release-deployment.dto.ts","16"
"API","class","CreateTaskDto","apps\api\src\modules\development\dto\development.dto.ts","64"
"WEB","interface","CreateTaskPayload","apps\web\src\features\development\development-types.ts","156"
"WEB","interface","CreateTechnologyPayload","apps\web\src\features\applications\application-types.ts","110"
"API","interface","CreateUserInput","apps\api\src\modules\users\users.service.ts","21"
"API","class","CreateWebhookEndpointDto","apps\api\src\modules\webhooks\dto\webhook.dto.ts","6"
"API","class","CreateWebsiteDto","apps\api\src\modules\websites\dto\website.dto.ts","19"
"WEB","interface","CreateWebsitePayload","apps\web\src\features\websites\website-types.ts","45"
"API","class","CreateWorkspaceDto","apps\api\src\modules\workspace\dto\create-workspace.dto.ts","4"
"API","interface","CreateWorkspaceInput","apps\api\src\modules\workspace\service\workspaces.service.ts","24"
"API","class","CreateWorkspaceInvitationDto","apps\api\src\modules\team-operations\dto\workspace-invitation.dto.ts","5"
"WEB","interface","CreateWorkspacePayload","apps\web\src\features\workspaces\workspace-types.ts","3"
"API","interface","CsvExportResult","apps\api\src\modules\analytics-reports\services\analytics-reports.service.ts","94"
"WEB","interface","CurrentUserResponse","apps\web\src\features\auth\auth.types.ts","69"
"API","interface","DatabaseHealthResult","apps\api\src\database\database-health.service.ts","4"
"API","class","DatabaseReadinessDto","apps\api\src\modules\health\dto\health-response.dto.ts","15"
"API","class","DeploymentListQueryDto","apps\api\src\modules\releases\dto\release-deployment.dto.ts","147"
"WEB","type","DeploymentStatus","apps\web\src\features\releases\release-management.types.ts","3"
"API","class","DimensionReportItemDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","130"
"API","class","DimensionReportQueryDto","apps\api\src\modules\analytics-reports\dto\analytics-report-query.dto.ts","110"
"WEB","interface","DimensionReportResponse","apps\web\src\features\analytics-reports\analytics-reports.types.ts","103"
"API","class","DimensionReportResponseDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","150"
"API","interface","DistributedLockResult","apps\api\src\infrastructure\database\postgres-advisory-lock.service.ts","6"
"API","interface","ErrorResponse","apps\api\src\common\filters\all-exceptions.filter.ts","8"
"API","class","EventReportItemDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","83"
"API","class","EventReportQueryDto","apps\api\src\modules\analytics-reports\dto\analytics-report-query.dto.ts","99"
"WEB","interface","EventReportResponse","apps\web\src\features\analytics-reports\analytics-reports.types.ts","73"
