"Area","Kind","Name","File","Line"
"API","class","ConnectWebsiteDto","apps\api\src\modules\websites\dto\website.dto.ts","75"
"API","type","CookieSameSite","apps\api\src\config\env.validation.ts","3"
"API","class","CreateApplicationDto","apps\api\src\modules\applications\dto\application.dto.ts","20"
"API","class","CreateApplicationLinkDto","apps\api\src\modules\applications\dto\application-link.dto.ts","5"
"API","class","CreateApplicationTechnologyDto","apps\api\src\modules\applications\dto\application-technology.dto.ts","5"
"API","class","CreateBlockerDto","apps\api\src\modules\development\dto\development.dto.ts","152"
"API","class","CreateDeploymentDto","apps\api\src\modules\releases\dto\release-deployment.dto.ts","62"
"API","class","CreateHealthCheckDto","apps\api\src\modules\monitoring\dto\health-check.dto.ts","6"
"API","class","CreateMilestoneDto","apps\api\src\modules\development\dto\development.dto.ts","27"
"API","interface","CreateNotificationInput","apps\api\src\modules\team-operations\services\notification.service.ts","5"
"API","class","CreateReleaseDto","apps\api\src\modules\releases\dto\release-deployment.dto.ts","16"
"API","class","CreateTaskDto","apps\api\src\modules\development\dto\development.dto.ts","64"
"API","interface","CreateUserInput","apps\api\src\modules\users\users.service.ts","21"
"API","class","CreateWebhookEndpointDto","apps\api\src\modules\webhooks\dto\webhook.dto.ts","6"
"API","class","CreateWebsiteDto","apps\api\src\modules\websites\dto\website.dto.ts","19"
"API","class","CreateWorkspaceDto","apps\api\src\modules\workspace\dto\create-workspace.dto.ts","4"
"API","interface","CreateWorkspaceInput","apps\api\src\modules\workspace\service\workspaces.service.ts","24"
"API","class","CreateWorkspaceInvitationDto","apps\api\src\modules\team-operations\dto\workspace-invitation.dto.ts","5"
"API","interface","CsvColumn","apps\api\src\modules\analytics-reports\utils\analytics-csv.ts","5"
"API","interface","CsvExportResult","apps\api\src\modules\analytics-reports\services\analytics-reports.service.ts","94"
"API","type","CsvValue","apps\api\src\modules\analytics-reports\utils\analytics-csv.ts","3"
"API","interface","DatabaseHealthResult","apps\api\src\database\database-health.service.ts","4"
"API","class","DatabaseReadinessDto","apps\api\src\modules\health\dto\health-response.dto.ts","15"
"API","interface","DateParts","apps\api\src\modules\analytics-overview\utils\analytics-date-range.ts","27"
"API","interface","DatePeriod","apps\api\src\modules\analytics-overview\utils\analytics-date-range.ts","8"
"API","class","DeploymentListQueryDto","apps\api\src\modules\releases\dto\release-deployment.dto.ts","147"
"API","interface","DevelopmentTemplateDefinition","apps\api\src\modules\development\templates\development-templates.ts","17"
"API","interface","DevelopmentTemplateMilestone","apps\api\src\modules\development\templates\development-templates.ts","10"
"API","interface","DevelopmentTemplateTask","apps\api\src\modules\development\templates\development-templates.ts","3"
"API","class","DimensionReportItemDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","130"
"API","class","DimensionReportQueryDto","apps\api\src\modules\analytics-reports\dto\analytics-report-query.dto.ts","110"
"API","class","DimensionReportResponseDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","150"
"API","enum","DimensionReportSortField","apps\api\src\modules\analytics-reports\dto\analytics-report-query.dto.ts","30"
"API","interface","DistributedLockResult","apps\api\src\infrastructure\database\postgres-advisory-lock.service.ts","6"
"API","interface","EncryptedWebhookSecret","apps\api\src\modules\webhooks\services\webhook-secret-crypto.service.ts","6"
"API","interface","EnvironmentVariables","apps\api\src\config\env.validation.ts","5"
"API","interface","ErrorBody","apps\api\src\common\filters\http-exception.filter.ts","6"
"API","interface","ErrorResponse","apps\api\src\common\filters\all-exceptions.filter.ts","8"
"API","interface","EventDatabaseRow","apps\api\src\modules\analytics-reports\services\analytics-reports.service.ts","62"
"API","class","EventReportItemDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","83"
"API","class","EventReportQueryDto","apps\api\src\modules\analytics-reports\dto\analytics-report-query.dto.ts","99"
"API","class","EventReportResponseDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","108"
"API","enum","EventReportSortField","apps\api\src\modules\analytics-reports\dto\analytics-report-query.dto.ts","23"
"API","class","EventReportSummaryDto","apps\api\src\modules\analytics-reports\dto\analytics-report-response.dto.ts","97"
"API","interface","EventSummaryDatabaseRow","apps\api\src\modules\analytics-reports\services\analytics-reports.service.ts","74"
"API","interface","GeneratedInvitationToken","apps\api\src\modules\team-operations\services\invitation-token.service.ts","6"
"API","interface","GeneratedTrackingKey","apps\api\src\modules\websites\services\websites.service.ts","41"
"API","interface","GithubBranch","apps\api\src\modules\repositories\services\github-code.service.ts","42"
"API","interface","GithubBranchResponse","apps\api\src\modules\repositories\services\github-code.service.ts","4"
"API","interface","GithubContentResponse","apps\api\src\modules\repositories\services\github-code.service.ts","28"
"API","interface","GithubInstallation","apps\api\src\modules\repositories\services\github-app.service.ts","55"
"API","interface","GithubInstallationResponse","apps\api\src\modules\repositories\services\github-app.service.ts","4"
"API","interface","GithubInstallationTokenResponse","apps\api\src\modules\repositories\services\github-app.service.ts","13"
"API","interface","GithubOauthResponse","apps\api\src\modules\repositories\services\github-app.service.ts","37"
"API","interface","GithubRepositoriesResponse","apps\api\src\modules\repositories\services\github-app.service.ts","32"
"API","interface","GithubRepository","apps\api\src\modules\repositories\services\github-app.service.ts","44"
"API","interface","GithubRepositoryContent","apps\api\src\modules\repositories\services\github-code.service.ts","64"
"API","interface","GithubRepositoryResponse","apps\api\src\modules\repositories\services\github-app.service.ts","18"
"API","interface","GithubRepositoryTree","apps\api\src\modules\repositories\services\github-code.service.ts","58"
"API","interface","GithubTreeEntry","apps\api\src\modules\repositories\services\github-code.service.ts","48"
"API","interface","GithubTreeEntryResponse","apps\api\src\modules\repositories\services\github-code.service.ts","14"
"API","interface","GithubTreeResponse","apps\api\src\modules\repositories\services\github-code.service.ts","22"
